char, d, r, date, dmg
M, 6, 6, 20240831, 0
M, 6, 6, 20240831, 1
M, 6, 6, 20240831, 1
M, 6, 6, 20240831, 1
M, 6, 6, 20240831, 1
M, 6, 6, 20240831, 1
M, 6, 1, 20240831, 1
M, 6, 1, 20240831, 1
M, 6, 1, 20240831, 1
M, 6, 1, 20240831, 1
M, 6, 1, 20240831, 1
M, 6, 1, 20240831, 1
G, 6, 1, 20240831, 1
G, 6, 1, 20240831, 1
G, 6, 1, 20240831, 1
G, 6, 1, 20240831, 1
G, 6, 1, 20240831, 1
G, 20, 1, 20240831, 1
G, 20, 1, 20240831, 1
G, 20, 1, 20240831, 1
G, 20, 1, 20240831, 1
G, 20, 1, 20240831, 1
G, 20, 5, 20240831, 1
G, 20, 5, 20240831, 1
G, 20, 5, 20240831, 1
G, 20, 6, 20240831, 1
G, 20, 6, 20240831, 1
G, 20, 6, 20240831, 1
G, 20, 6, 20240831, 1
G, 6, 6, 20240831, 1
G, 6, 6, 20240831, 1
G, 6, 6, 20240831, 1
G, 6, 6, 20240831, 1
G, 6, 6, 20240831, 1
F, 6, 6, 20240831, 1
F, 6, 6, 20240831, 1
F, 6, 6, 20240831, 1
F, 6, 6, 20240831, 1
F, 6, 6, 20240831, 1
F, 6, 1, 20240831, 1
F, 6, 1, 20240831, 1
F, 6, 1, 20240831, 1
F, 6, 1, 20240831, 1
F, 6, 1, 20240831, 1
F, 6, 1, 20240831, 1
F, 6, 1, 20240831, 1
F, 6, 1, 20240831, 1
F, 6, 1, 20240831, 1
F, 4, 1, 20240831, 1
F, 4, 1, 20240831, 1
F, 4, 1, 20240831, 1
F, 4, 1, 20240831, 1
F, 4, 1, 20240831, 1
F, 4, 1, 20240831, 1
M, 20, 5, 20240831, 1
M, 20, 5, 20240831, 1
M, 20, 15, 20240831, 1
M, 20, 15, 20240831, 1
M, 20, 15, 20240831, 1
M, 12, 3, 20240831, 1
M, 12, 3, 20240831, 1
M, 12, 3, 20240831, 1
M, 12, 3, 20240831, 1
M, 12, 5, 20240831, 1
M, 12, 5, 20240831, 1
M, 12, 5, 20240831, 1
M, 12, 5, 20240831, 1
M, 12, 5, 20240831, 1
M, 8, 5, 20240831, 1
M, 8, 5, 20240831, 1
M, 8, 5, 20240831, 1
M, 6, 5, 20240831, 1
M, 6, 5, 20240831, 1
M, 6, 5, 20240831, 1
M, 20, 5, 20240831, 1
M, 20, 5, 20240831, 1
M, 20, 5, 20240831, 1
M, 8, 7, 20240831, 1
M, 4, 3, 20240831, 1
M, 4, 3, 20240831, 1
M, 4, 3, 20240831, 1
M, 6, 6, 2024091, 1
M, 6, 6, 2024091, 1
M, 6, 6, 2024091, 1
M, 6, 1, 2024091, 1
M, 20, 1, 20240911, 1
M, 20, 1, 20240911, 1
M, 20, 1, 20240911, 1
M, 20, 1, 20240911, 1
M, 20, 1, 20240911, 1
M, 20, 2, 20240911, 1
M, 20, 2, 20240911, 1
M, 20, 2, 20240911, 1
M, 20, 3, 20240911, 1
M, 20, 5, 20240911, 1
M, 20, 6, 20240911, 1
M, 20, 6, 20240911, 1
M, 20, 7, 20240911, 1
M, 20, 10, 20240911, 1
M, 20, 20, 20240911, 1
M, 20, 20, 20240911, 1
M, 20, 20, 20240911, 1
M, 20, 20, 20240911, 1
M, 20, 14, 20240911, 1
M, 20, 14, 20240911, 1
M, 20, 15, 20240911, 1
M, 20, 15, 20240911, 1
M, 20, 16, 20240911, 1
M, 20, 16, 20240911, 1
F, 20, 1, 20240911, 1
F, 20, 1, 20240911, 0
F, 20, 2, 20240911, 0
F, 20, 3, 20240911, 0
F, 20, 3, 20240911, 0
F, 20, 5, 20240911, 0
F, 20, 5, 20240911, 0
F, 20, 10, 20240911, 1
F, 20, 10, 20240911, 1
F, 20, 10, 20240911, 1
F, 20, 10, 20240911, 1
F, 20, 14, 20240911, 1
F, 20, 14, 20240911, 1
F, 20, 20, 20240911, 1
F, 20, 20, 20240911, 1
F, 20, 15, 20240911, 1
F, 20, 15, 20240911, 1
F, 20, 15, 20240911, 1
F, 20, 15, 20240911, 0
F, 20, 15, 20240911, 0
G, 20, 10, 20240912, 1
G, 20, 10, 20240912, 1
G, 20, 10, 20240912, 1
G, 20, 10, 20240912, 1
G, 20, 10, 20240912, 1
G, 20, 10, 20240912, 1
G, 20, 10, 20240912, 1
G, 20, 10, 20240912, 1
G, 20, 15, 20240912, 1
G, 20, 15, 20240912, 1
G, 20, 15, 20240912, 1
G, 20, 15, 20240912, 1
G, 20, 15, 20240912, 1
G, 20, 15, 20240912, 1
G, 20, 16, 20240912, 1
G, 20, 16, 20240912, 1
G, 20, 16, 20240912, 1
G, 20, 16, 20240912, 1
G, 20, 16, 20240912, 1
G, 20, 16, 20240912, 1
G, 20, 17, 20240912, 1
G, 20, 17, 20240912, 1
G, 20, 17, 20240912, 1
G, 20, 17, 20240912, 1
G, 20, 18, 20240912, 1
G, 20, 18, 20240912, 1
G, 20, 18, 20240912, 1
G, 20, 18, 20240912, 1
G, 20, 18, 20240912, 1
G, 20, 19, 20240912, 1
G, 20, 19, 20240912, 1
G, 20, 19, 20240912, 1
G, 20, 19, 20240912, 1
G, 20, 19, 20240912, 1
G, 20, 19, 20240912, 1
G, 20, 20, 20240912, 1
G, 20, 20, 20240912, 1
G, 20, 3, 20240912, 1
G, 20, 3, 20240912, 1
G, 20, 3, 20240912, 1
G, 20, 3, 20240912, 1
G, 20, 4, 20240912, 1
G, 20, 5, 20240912, 1
G, 20, 6, 20240912, 1
G, 20, 8, 20240912, 1
G, 20, 8, 20240912, 1
